iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
0,,,304677.0,5.0,35000000.0,14.969300068134604,3.7005104848465304,340719091.39946806
,0,0,3313.0,0.625,11666666.666666666,16.928122102471022,4.127337806128436,48152274.40483175,43.7,143.6,12,183.1924253684002,2
,0,1,6331.0,0.625,11666666.666666666,14.763128318595399,3.6555856606219375,42648499.3739226,41.8,140.7,12,183.51980796816517,0
,0,2,46657.0,0.625,11666666.666666666,14.278081027792041,3.5498938559558857,41415428.31948533,38.5,140.7,12,183.73432244603094,1
,0,3,90560.0,0.625,11666666.666666666,13.332926651436654,3.343944717348047,39012688.369060546,36.2,139.0,12,183.8146724662094,0
,0,4,48780.0,0.625,11666666.666666666,13.037277426893748,3.279522751320148,38261098.76540172,35.8,136.7,12,183.23946611880635,1
,0,5,72745.0,0.625,11666666.666666666,14.30827268858282,3.5564726188421965,41492180.553158954,34.5,134.4,12,183.5553370705314,0
,0,6,16424.0,0.625,11666666.666666666,14.333506083483947,3.561970975591152,41556328.048563436,34.1,131.9,12,183.48435872681142,1
,0,7,19867.0,0.625,11666666.666666666,16.9392618757138,4.129765162718037,48180593.56504376,31.9,130.2,12,183.80015252764147,2

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI_db[dB],beam_bps_per_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
1,,,304677.0,5.2529822128133885,35000000.0,15.124924830280321,3.734421120518082,343582420.645149
,1,0,3313.0,0.6566227766016776,11666666.666666666,17.1386788504627,4.173218121515823,48687544.75101793,43.7,143.6,12,183.1924253684002,2
,1,1,6331.0,0.6566227766016745,11666666.666666666,14.903685035492092,3.686212969233727,43005817.97439348,41.8,140.7,12,183.51980796816517,0
,1,2,46657.0,0.6566227766016729,11666666.666666666,14.400502707176335,3.576569539893723,41726644.63209344,38.5,140.7,12,183.73432244603094,1
,1,3,90560.0,0.6566227766016711,11666666.666666666,13.437648100688808,3.3667635211400913,39278907.746634394,36.2,139.0,12,183.8146724662094,0
,1,4,48780.0,0.6566227766016689,11666666.666666666,13.127619876249346,3.2992083710347324,38490764.32873854,35.8,136.7,12,183.23946611880635,1
,1,5,72745.0,0.6566227766016731,11666666.666666666,14.43301808324781,3.583654640339698,41809304.137296475,34.5,134.4,12,183.5553370705314,0
,1,6,16424.0,0.6566227766016729,11666666.666666666,14.455952383490875,3.5886520243626614,41867606.950897716,34.1,131.9,12,183.48435872681142,1
,1,7,19867.0,0.6566227766016776,11666666.666666666,17.149805333013976,4.1756425820637455,48715830.12407703,31.9,130.2,12,183.80015252764147,2

